"id_invoice","tanggal","id_barang","nama_barang","jumlah_barang","total_harga","mata_uang","kode_brand","brand","id_customer","nama_customer","cabang_sales","id_distributor","group_category","bulan"
IN5997,"20/1/22",BRG0001,ACYCLOVIR DUS,1,1169.91,IDR,BRG0001,OGB & PH,CUST55380,APOTEK TAPAK,Aceh,TD,Apotek,"2020-01"
IN6297,"20/1/22",BRG0002,ALERGINE TABLET SALUT,5,11687.5,IDR,BRG0002,ETIKAL,CUST55381,APOTEK MAJA,Kuningan,TD,Apotek,"2020-01"
IN6155,"21/1/22",BRG0003,AMPICILLIN,9,96215.40000000001,IDR,BRG0003,MARCKS,CUST55382,KLINIK GM,Jakarta,TA,Klinik,"2021-01"
IN6144,"22/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,13,113109.1,IDR,BRG0004,VNS,CUST55383,APOTEK MERDEKA,Bandung,EPM,Apotek,"2022-01"
IN6280,"23/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,1,5648.3,IDR,BRG0005,SLCYL,CUST55384,KLINIK SAHABAT,Tangerang,TD,Klinik,"2023-01"
IN6052,"23/1/22",BRG0006,KETOCONAZOLE TABLET 200 MG,5,14096.0,IDR,BRG0006,OGB & PH,CUST55385,APOTEK SINAR JAYA,Bekasi,TA,Apotek,"2023-01"
IN6089,"25/1/22",BRG0007,ERGOTAMINE COFFEINE,9,41328.9,IDR,BRG0007,ETIKAL,CUST55386,APOTEK SAHABAT,Padang,EPM,Apotek,"2025-01"
IN6251,"23/1/22",BRG0008,TETRACYCLINE KAPSUL 250 MG,1,3991.9,IDR,BRG0008,MARCKS,CUST55387,APOTEK TAPAK,Aceh,TD,Apotek,"2023-01"
IN6036,"27/1/22",BRG0009,AMBROXOL HC,23,132956.1,IDR,BRG0009,VNS,CUST55388,APOTEK MAJA,Kuningan,TA,Apotek,"2027-01"
IN6029,"28/1/22",BRG0010,PARACETAMOL,4,27761.2,IDR,BRG0010,SLCYL,CUST55389,KLINIK GM,Jakarta,EPM,Klinik,"2028-01"
IN6190,"23/1/22",BRG0001,ACYCLOVIR DUS,2,2339.82,IDR,BRG0001,OGB & PH,CUST55390,APOTEK MERDEKA,Bandung,TD,Apotek,"2023-01"
IN6287,"30/1/22",BRG0002,ALERGINE TABLET SALUT,17,39737.5,IDR,BRG0002,ETIKAL,CUST55391,KLINIK SAHABAT,Tangerang,TD,Klinik,"2030-01"
IN6102,"31/1/22",BRG0003,AMPICILLIN,11,117596.6,IDR,BRG0003,MARCKS,CUST55392,APOTEK SINAR JAYA,Bekasi,TA,Apotek,"2031-01"
IN6301,"1/2/22",BRG0004,TRAMADOL KAPSUL 50 MG,12,104408.40000000001,IDR,BRG0004,VNS,CUST55393,APOTEK SAHABAT,Padang,EPM,Apotek,"0001-02"
IN6024,"27/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,12,67779.6,IDR,BRG0005,SLCYL,CUST55394,KLINIK DR. ANDRI,Lampung,TD,Klinik,"2027-01"
IN6184,"28/1/22",BRG0006,KETOCONAZOLE TABLET 200 MG,25,70480.0,IDR,BRG0006,OGB & PH,CUST55395,APOTEK TAPAK,Aceh,TA,Apotek,"2028-01"
IN6307,"23/1/22",BRG0007,ERGOTAMINE COFFEINE,14,64289.40000000001,IDR,BRG0007,ETIKAL,CUST55396,APOTEK MAJA,Kuningan,EPM,Apotek,"2023-01"
IN6245,"30/1/22",BRG0008,TETRACYCLINE KAPSUL 250 MG,34,135724.6,IDR,BRG0008,MARCKS,CUST55397,KLINIK GM,Jakarta,TD,Klinik,"2030-01"
IN6195,"31/1/22",BRG0009,AMBROXOL HC,67,387306.89999999997,IDR,BRG0009,VNS,CUST55398,APOTEK MERDEKA,Bandung,TA,Apotek,"2031-01"
IN6023,"1/2/22",BRG0010,PARACETAMOL,15,104104.5,IDR,BRG0010,SLCYL,CUST55399,KLINIK SAHABAT,Tangerang,EPM,Klinik,"0001-02"
IN6113,"27/1/22",BRG0001,ACYCLOVIR DUS,12,14038.920000000002,IDR,BRG0001,OGB & PH,CUST55400,APOTEK SINAR JAYA,Bekasi,TD,Apotek,"2027-01"
IN6141,"28/1/22",BRG0002,ALERGINE TABLET SALUT,25,58437.5,IDR,BRG0002,ETIKAL,CUST55401,APOTEK SAHABAT,Padang,TD,Apotek,"2028-01"
IN6125,"23/1/22",BRG0003,AMPICILLIN,14,149668.4,IDR,BRG0003,MARCKS,CUST55402,APOTEK TAPAK,Aceh,TA,Apotek,"2023-01"
IN6176,"30/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,18,156612.6,IDR,BRG0004,VNS,CUST55403,APOTEK MAJA,Kuningan,EPM,Apotek,"2030-01"
IN6175,"31/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,18,101669.40000000001,IDR,BRG0005,SLCYL,CUST55404,KLINIK GM,Jakarta,TD,Klinik,"2031-01"
IN6259,"1/2/22",BRG0006,KETOCONAZOLE TABLET 200 MG,19,53564.799999999996,IDR,BRG0006,OGB & PH,CUST55405,APOTEK MERDEKA,Bandung,TA,Apotek,"0001-02"
IN6173,"27/1/22",BRG0001,ACYCLOVIR DUS,12,55105.200000000004,IDR,BRG0001,OGB & PH,CUST55406,KLINIK SAHABAT,Tangerang,EPM,Klinik,"2027-01"
IN6013,"28/1/22",BRG0002,ALERGINE TABLET SALUT,25,99797.5,IDR,BRG0002,ETIKAL,CUST55407,APOTEK SINAR JAYA,Bekasi,TD,Apotek,"2028-01"
IN6086,"23/1/22",BRG0003,AMPICILLIN,14,80929.8,IDR,BRG0003,MARCKS,CUST55408,APOTEK SAHABAT,Padang,TD,Apotek,"2023-01"
IN6108,"30/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,21,145746.30000000002,IDR,BRG0004,VNS,CUST55409,KLINIK DR. ANDRI,Lampung,TA,Klinik,"2030-01"
IN6321,"31/1/22",BRG0001,ACYCLOVIR DUS,22,25738.02,IDR,BRG0001,OGB & PH,CUST55410,APOTEK TAPAK,Aceh,EPM,Apotek,"2031-01"
IN5994,"1/2/22",BRG0002,ALERGINE TABLET SALUT,12,28050.0,IDR,BRG0002,ETIKAL,CUST55411,APOTEK MAJA,Kuningan,TD,Apotek,"0001-02"
IN6146,"27/1/22",BRG0003,AMPICILLIN,25,267265.0,IDR,BRG0003,MARCKS,CUST55412,KLINIK GM,Jakarta,TA,Klinik,"2027-01"
IN6230,"28/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,14,121809.80000000002,IDR,BRG0004,VNS,CUST55413,APOTEK MERDEKA,Bandung,EPM,Apotek,"2028-01"
IN5991,"23/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,24,135559.2,IDR,BRG0005,SLCYL,CUST55414,KLINIK SAHABAT,Tangerang,TD,Klinik,"2023-01"
IN6281,"30/1/22",BRG0006,KETOCONAZOLE TABLET 200 MG,10,28192.0,IDR,BRG0006,OGB & PH,CUST55415,APOTEK SINAR JAYA,Bekasi,TA,Apotek,"2030-01"
